Prey,Predator
 Large carnivorous micro-zooplankton             , Cowfish                           
 Shallow infaunal deposit feeders I              , Cowfish                           
 Deep infaunal soft substrate suspension feeder    , Cowfish                           
 Shallow infaunal suspension feeders with chemosymbionts   , Cowfish                           
 Shallow infaunal soft substrate suspension feeder     , Cowfish                           
 Epifaunal attached soft substrate suspension feeder , Cowfish                           
 Epifaunal free soft substrate suspension feeder   , Cowfish                           
 Echinoid carnivores I                    , Cowfish                           
 Epifaunal bivalve carnivores II               , Cowfish                           
 Coral macrocrustacean IV                   , Cowfish                           
 Molluscivores II                       , Cowfish                           
 Molluscivores III                      , Cowfish                           
 Epiphyte grazer I                      , Cowfish                           
 Epibenthic sponges                      , Cowfish                           
 Endolithic sponges                      , Cowfish                           
 Filamentous macroalgae                    , Seabream                           
 Sheet macroalgae                       , Seabream                           
 Coarsely branched macroalgae                 , Seabream                           
 Jointed calcareous macroalgae                , Seabream                           
 Thick leathery macroalgae                  , Seabream                           
 Seagrasses                          , Seabream                           
 Herbivorous micro-zooplankton                , Seabream                           
 Omnivorous micro-zooplankton                 , Seabream                           
 Carnivorous micro-zooplankton                , Seabream                           
 Carnivorous micro-zooplankton                , Seabream                           
 Large omnivorous micro-zooplankton              , Seabream                           
 Large omnivorous micro-zooplankton              , Seabream                           
 Large carnivorous micro-zooplankton             , Seabream                           
 Shallow infaunal deposit feeders I              , Seabream                           
 Shallow infaunal suspension feeders with chemosymbionts   , Seabream                           
 Shallow infaunal soft substrate suspension feeder     , Seabream                           
 Epifaunal attached soft substrate suspension feeder , Seabream                           
 Infaunal hard substrate suspension feeder        , Seabream                           
 Epifaunal free soft substrate suspension feeder   , Seabream                           
 Herbivorous gastropods III                  , Seabream                           
 Herbivorous gastropods IV                  , Seabream                           
 Echinoid carnivores I                    , Seabream                           
 Epifaunal bivalve carnivores II               , Seabream                           
 Detritivorous gastropods I                  , Seabream                           
 Molluscivores II                       , Seabream                           
 Molluscivores III                      , Seabream                           
 Epiphyte grazer I                      , Seabream                           
 Cleaner crustacea I                     , Seabream                           
 Herbivorous crustacea I                   , Seabream                           
 Herbivorous crustacea II                   , Seabream                           
 Herbivorous crustacea III                  , Seabream                           
 Omnivorous crustacea III                   , Seabream                           
 Herbivorous crustacea IV                   , Seabream                           
 Herbivorous crustacea VI                   , Seabream                           
 Omnivorous crustacea V                    , Seabream                           
 Omnivorous crustacea VI                   , Seabream                           
 Filamentous macroalgae                    , Angelfish                          
 Sheet macroalgae                       , Angelfish                          
 Coarsely branched macroalgae                 , Angelfish                          
 Jointed calcareous macroalgae                , Angelfish                          
 Thick leathery macroalgae                  , Angelfish                          
 Epibenthic sponges                      , Angelfish                          
 Benthic carnivores I                     , Angelfish                          
 Hermatypic benthic carnivores I               , Angelfish                          
 Filamentous macroalgae                    , Atlantic spadefish                      
 Sheet macroalgae                       , Atlantic spadefish                      
 Coarsely branched macroalgae                 , Atlantic spadefish                      
 Jointed calcareous macroalgae                , Atlantic spadefish                      
 Thick leathery macroalgae                  , Atlantic spadefish                      
 Herbivorous micro-zooplankton                , Atlantic spadefish                      
 Omnivorous micro-zooplankton                 , Atlantic spadefish                      
 Carnivorous micro-zooplankton                , Atlantic spadefish                      
 Carnivorous micro-zooplankton                , Atlantic spadefish                      
 Large omnivorous micro-zooplankton              , Atlantic spadefish                      
 Large omnivorous micro-zooplankton              , Atlantic spadefish                      
 Large carnivorous micro-zooplankton             , Atlantic spadefish                      
 Epibenthic sponges                      , Atlantic spadefish                      
 Hermatypic gorgonians                    , Atlantic spadefish                      
 Ahermatypic gorgonians                    , Atlantic spadefish                      
 Benthic carnivores I                     , Atlantic spadefish                      
 Hermatypic benthic carnivores I               , Atlantic spadefish                      
 Filamentous macroalgae                    , Angelfish                          
 Sheet macroalgae                       , Angelfish                          
 Coarsely branched macroalgae                 , Angelfish                          
 Jointed calcareous macroalgae                , Angelfish                          
 Thick leathery macroalgae                  , Angelfish                          
 Epifaunal attached hard substrate suspension feeder , Angelfish                          
 Epifaunal free hard substrate suspension feeder   , Angelfish                          
 Filamentous macroalgae                    , Triggerfish                         
 Sheet macroalgae                       , Triggerfish                         
 Coarsely branched macroalgae                 , Triggerfish                         
 Jointed calcareous macroalgae                , Triggerfish                         
 Thick leathery macroalgae                  , Triggerfish                         
 Herbivorous micro-zooplankton                , Triggerfish                         
 Omnivorous micro-zooplankton                 , Triggerfish                         
 Carnivorous micro-zooplankton                , Triggerfish                         
 Carnivorous micro-zooplankton                , Triggerfish                         
 Large omnivorous micro-zooplankton              , Triggerfish                         
 Large omnivorous micro-zooplankton              , Triggerfish                         
 Large carnivorous micro-zooplankton             , Triggerfish                         
 Coral macrocrustacean I                   , Triggerfish                         
 Coral macrocrustacean II                   , Triggerfish                         
 Coral macrocrustacean III                  , Triggerfish                         
 Coral macrocrustacean IV                   , Triggerfish                         
 Coral macrocrustacean V                   , Triggerfish                         
 Coral macrocrustacean VI , Triggerfish                         
 Herbivorous crustacea V                   , Triggerfish                         
 Herbivorous crustacea VI                   , Triggerfish                         
 Omnivorous crustacea V                    , Triggerfish                         
 Carnivorous crustacea III                  , Triggerfish                         
 Omnivorous crustacea VI                   , Triggerfish                         
 Amphiroa crustacea I                     , Triggerfish                         
 Omnivorous crustacea VII                   , Triggerfish                         
 Filamentous macroalgae                    , Parrotfish                          
 Sheet macroalgae                       , Parrotfish                          
 Coarsely branched macroalgae                 , Parrotfish                          
 Jointed calcareous macroalgae                , Parrotfish                          
 Thick leathery macroalgae                  , Parrotfish                          
 Epibenthic sponges                      , Parrotfish                          
 Endolithic sponges                      , Parrotfish                          
 Herbivorous micro-zooplankton                , Butterflyfish                        
 Omnivorous micro-zooplankton                 , Butterflyfish                        
 Carnivorous micro-zooplankton                , Butterflyfish                        
 Carnivorous micro-zooplankton                , Butterflyfish                        
 Macroplanktonic carnivores I                 , Butterflyfish                        
 Large omnivorous micro-zooplankton              , Butterflyfish                        
 Large omnivorous micro-zooplankton              , Butterflyfish                        
 Large carnivorous micro-zooplankton             , Butterflyfish                        
 Benthic carnivores I                     , Butterflyfish                        
 Hermatypic benthic carnivores I               , Butterflyfish                        
 Endolithic polychaetes                    , Butterflyfish                        
 Hermatypic gorgonians                    , Butterflyfish                        
 Ahermatypic gorgonians                    , Butterflyfish                        
 Ahermatypic benthic coralsù               , Butterflyfish                        
 Hermatypic coralsù                   , Butterflyfish                        
 Ahermatypic benthic coralsù               , Butterflyfish                        
 Hermatypic coralsù                   , Butterflyfish                        
 Endolithic polychaetes                    , Butterflyfish                        
 Large omnivorous micro-zooplankton              , Butterflyfish                        
 Omnivorous crustacea VIII                  , Butterflyfish                        
 Omnivorous crustacea XI                   , Butterflyfish                        
 Filamentous macroalgae                    , Damselfish                          
 Sheet macroalgae                       , Damselfish                          
 Coarsely branched macroalgae                 , Damselfish                          
 Jointed calcareous macroalgae                , Damselfish                          
 Thick leathery macroalgae                  , Damselfish                          
 Ahermatypic benthic coralsù               , Damselfish                          
 Hermatypic coralsù                   , Damselfish                          
 Omnivorous crustacea VIII                  , Damselfish                          
 Omnivorous crustacea XI                   , Damselfish                          
 Carnivorous ophiuroids                    , Damselfish                          
 Filamentous macroalgae                    , Blenny                            
 Sheet macroalgae                       , Blenny                            
 Coarsely branched macroalgae                 , Blenny                            
 Jointed calcareous macroalgae                , Blenny                            
 Thick leathery macroalgae                  , Blenny                            
 Corallivorous polychaetes                  , Blenny                            
 Endolithic polychaetes                    , Blenny                            
 Carnivorous ophiuroids                    , Blenny                            
 Filamentous macroalgae                    , Blenny                            
 Sheet macroalgae                       , Blenny                            
 Coarsely branched macroalgae                 , Blenny                            
 Jointed calcareous macroalgae                , Blenny                            
 Thick leathery macroalgae                  , Blenny                            
 Ahermatypic benthic coralsù               , Blenny                            
 Hermatypic coralsù                   , Blenny                            
 Omnivorous crustacea VIII                  , Blenny                            
 Omnivorous crustacea XI                   , Blenny                            
 Carnivorous ophiuroids                    , Blenny                            
 Filamentous macroalgae                    , Blenny                            
 Sheet macroalgae                       , Blenny                            
 Coarsely branched macroalgae                 , Blenny                            
 Jointed calcareous macroalgae                , Blenny                            
 Thick leathery macroalgae                  , Blenny                            
 Herbivorous micro-zooplankton                , Blenny                            
 Omnivorous micro-zooplankton                 , Blenny                            
 Carnivorous micro-zooplankton                , Blenny                            
 Carnivorous micro-zooplankton                , Blenny                            
 Macroplanktonic carnivores I                 , Blenny                            
 Large omnivorous micro-zooplankton              , Blenny                            
 Large omnivorous micro-zooplankton              , Blenny                            
 Large carnivorous micro-zooplankton             , Blenny                            
 Filamentous macroalgae                    , Parrotfish                          
 Sheet macroalgae                       , Parrotfish                          
 Coarsely branched macroalgae                 , Parrotfish                          
 Jointed calcareous macroalgae                , Parrotfish                          
 Thick leathery macroalgae                  , Parrotfish                          
 Seagrasses                          , Parrotfish                          
 Herbivorous micro-zooplankton                , Parrotfish                          
 Omnivorous micro-zooplankton                 , Parrotfish                          
 Carnivorous micro-zooplankton                , Parrotfish                          
 Carnivorous micro-zooplankton                , Parrotfish                          
 Macroplanktonic carnivores I                 , Parrotfish                          
 Large omnivorous micro-zooplankton              , Parrotfish                          
 Large omnivorous micro-zooplankton              , Parrotfish                          
 Large carnivorous micro-zooplankton             , Parrotfish                          
 Filamentous macroalgae                    , Trunkfish                          
 Sheet macroalgae                       , Trunkfish                          
 Coarsely branched macroalgae                 , Trunkfish                          
 Jointed calcareous macroalgae                , Trunkfish                          
 Thick leathery macroalgae                  , Trunkfish                          
 Seagrasses                          , Trunkfish                          
 Spongivorous nudibranchs                   , Trunkfish                          
 Omnivorous gastropod                     , Trunkfish                          
 Herbivorous gastropods I                   , Trunkfish                          
 Herbivorous gastropods II                  , Trunkfish                          
 Herbivorous gastropods III                  , Trunkfish                          
 Corallivorous gastropods IV                 , Trunkfish                          
 Epifaunal bivalve carnivores I                , Trunkfish                          
 Sponge-anemone carnivores I                 , Trunkfish                          
 Epifaunal bivalve carnivores II               , Trunkfish                          
 Detritivorous gastropods I                  , Trunkfish                          
 Epiphyte grazer I                      , Trunkfish                          
 Echinoid carnivores I                    , Trunkfish                          
 Herbivorous gastropods IV                  , Trunkfish                          
 Filamentous macroalgae                    , Herring                           
 Sheet macroalgae                       , Herring                           
 Coarsely branched macroalgae                 , Herring                           
 Jointed calcareous macroalgae                , Herring                           
 Thick leathery macroalgae                  , Herring                           
 Seagrasses                          , Herring                           
 Herbivorous micro-zooplankton                , Herring                           
 Omnivorous micro-zooplankton                 , Herring                           
 Carnivorous micro-zooplankton                , Herring                           
 Carnivorous micro-zooplankton                , Herring                           
 Macroplanktonic carnivores I                 , Herring                           
 Large omnivorous micro-zooplankton              , Herring                           
 Large omnivorous micro-zooplankton              , Herring                           
 Large carnivorous micro-zooplankton             , Herring                           
 Corallivorous polychaetes                  , Herring                           
 Filamentous macroalgae                    , Trunkfish                          
 Sheet macroalgae                       , Trunkfish                          
 Coarsely branched macroalgae                 , Trunkfish                          
 Jointed calcareous macroalgae                , Trunkfish                          
 Thick leathery macroalgae                  , Trunkfish                          
 Seagrasses                          , Trunkfish                          
 Epibenthic sponges                      , Trunkfish                          
 Spongivorous nudibranchs                   , Trunkfish                          
 Omnivorous gastropod                     , Trunkfish                          
 Herbivorous gastropods I                   , Trunkfish                          
 Herbivorous gastropods II                  , Trunkfish                          
 Herbivorous gastropods III                  , Trunkfish                          
 Herbivorous gastropods IV                  , Trunkfish                          
 Corallivorous gastropods IV                 , Trunkfish                          
 Echinoid carnivores I                    , Trunkfish                          
 Epifaunal bivalve carnivores I                , Trunkfish                          
 Sponge-anemone carnivores I                 , Trunkfish                          
 Epifaunal bivalve carnivores II               , Trunkfish                          
 Detritivorous gastropods I                  , Trunkfish                          
 Epiphyte grazer I                      , Trunkfish                          
 Corallivorous polychaetes                  , Trunkfish                          
 Deposit feeders II                      , Trunkfish                          
 Filamentous macroalgae                    , Pilotfish                          
 Sheet macroalgae                       , Pilotfish                          
 Coarsely branched macroalgae                 , Pilotfish                          
 Jointed calcareous macroalgae                , Pilotfish                          
 Thick leathery macroalgae                  , Pilotfish                          
 Seagrasses                          , Pilotfish                          
 Benthic carnivores I                     , Pilotfish                          
 Large omnivorous micro-zooplankton              , Pilotfish                          
 Filamentous macroalgae                    , Pufferfish                          
 Sheet macroalgae                       , Pufferfish                          
 Coarsely branched macroalgae                 , Pufferfish                          
 Jointed calcareous macroalgae                , Pufferfish                          
 Thick leathery macroalgae                  , Pufferfish                          
 Seagrasses                          , Pufferfish                          
 Herbivorous micro-zooplankton                , Pufferfish                          
 Omnivorous micro-zooplankton                 , Pufferfish                          
 Carnivorous micro-zooplankton                , Pufferfish                          
 Carnivorous micro-zooplankton                , Pufferfish                          
 Macroplanktonic carnivores I                 , Pufferfish                          
 Large omnivorous micro-zooplankton              , Pufferfish                          
 Large omnivorous micro-zooplankton              , Pufferfish                          
 Large carnivorous micro-zooplankton             , Pufferfish                          
 Epibenthic sponges                      , Pufferfish                          
 Endolithic sponges                      , Pufferfish                          
 Hermatypic coralsù                   , Pufferfish                          
 Spongivorous nudibranchs                   , Pufferfish                          
 Omnivorous gastropod                     , Pufferfish                          
 Herbivorous gastropods I                   , Pufferfish                          
 Herbivorous gastropods II                  , Pufferfish                          
 Herbivorous gastropods III                  , Pufferfish                          
 Herbivorous gastropods IV                  , Pufferfish                          
 Corallivorous gastropods IV                 , Pufferfish                          
 Epifaunal bivalve carnivores I                , Pufferfish                          
 Sponge-anemone carnivores I                 , Pufferfish                          
 Epifaunal bivalve carnivores II               , Pufferfish                          
 Detritivorous gastropods I                  , Pufferfish                          
 Epiphyte grazer I                      , Pufferfish                          
 Echinoid carnivores I                    , Pufferfish                          
 Epifaunal attached hard substrate suspension feeder , Pufferfish                          
 Epifaunal free hard substrate suspension feeder   , Pufferfish                          
 Shallow infaunal deposit feeders I              , Pufferfish                          
 Deep infaunal soft substrate suspension feeder    , Pufferfish                          
 Shallow infaunal suspension feeders with chemosymbionts   , Pufferfish                          
 Shallow infaunal soft substrate suspension feeder     , Pufferfish                          
 Epifaunal attached soft substrate suspension feeder , Pufferfish                          
 Infaunal hard substrate suspension feeder        , Pufferfish                          
 Epifaunal free soft substrate suspension feeder   , Pufferfish                          
 Filamentous macroalgae                    , Pufferfish                          
 Sheet macroalgae                       , Pufferfish                          
 Coarsely branched macroalgae                 , Pufferfish                          
 Jointed calcareous macroalgae                , Pufferfish                          
 Thick leathery macroalgae                  , Pufferfish                          
 Seagrasses                          , Pufferfish                          
 Herbivorous micro-zooplankton                , Pufferfish                          
 Omnivorous micro-zooplankton                 , Pufferfish                          
 Carnivorous micro-zooplankton                , Pufferfish                          
 Carnivorous micro-zooplankton                , Pufferfish                          
 Macroplanktonic carnivores I                 , Pufferfish                          
 Large omnivorous micro-zooplankton              , Pufferfish                          
 Large omnivorous micro-zooplankton              , Pufferfish                          
 Large carnivorous micro-zooplankton             , Pufferfish                          
 Spongivorous nudibranchs                   , Pufferfish                          
 Omnivorous gastropod                     , Pufferfish                          
 Herbivorous gastropods I                   , Pufferfish                          
 Herbivorous gastropods II                  , Pufferfish                          
 Herbivorous gastropods III                  , Pufferfish                          
 Herbivorous gastropods IV                  , Pufferfish                          
 Corallivorous gastropods IV                 , Pufferfish                          
 Epifaunal bivalve carnivores I                , Pufferfish                          
 Sponge-anemone carnivores I                 , Pufferfish                          
 Epifaunal bivalve carnivores II               , Pufferfish                          
 Detritivorous gastropods I                  , Pufferfish                          
 Epiphyte grazer I                      , Pufferfish                          
 Echinoid carnivores I                    , Pufferfish                          
 Epifaunal attached hard substrate suspension feeder , Pufferfish                          
 Epifaunal free hard substrate suspension feeder   , Pufferfish                          
 Shallow infaunal deposit feeders I              , Pufferfish                          
 Deep infaunal soft substrate suspension feeder    , Pufferfish                          
 Shallow infaunal suspension feeders with chemosymbionts   , Pufferfish                          
 Shallow infaunal soft substrate suspension feeder     , Pufferfish                          
 Epifaunal attached soft substrate suspension feeder , Pufferfish                          
 Infaunal hard substrate suspension feeder        , Pufferfish                          
 Epifaunal free soft substrate suspension feeder   , Pufferfish                          
 Corallivorous polychaetes                  , Pufferfish                          
 Deposit feeders II                      , Pufferfish                          
 Endolithic polychaetes                    , Pufferfish                          
 Cleaner crustacea I                     , Pufferfish                          
 Carnivorous crustacea IV                   , Pufferfish                          
 Coral macrocrustacean I                   , Pufferfish                          
 Coral macrocrustacean II                   , Pufferfish                          
 Coral macrocrustacean III                  , Pufferfish                          
 Coral macrocrustacean IV                   , Pufferfish                          
 Coral macrocrustacean V                   , Pufferfish                          
 Coral macrocrustacean VI , Pufferfish                          
 Herbivorous crustacea V                   , Pufferfish                          
 Herbivorous crustacea VI                   , Pufferfish                          
 Omnivorous crustacea V                    , Pufferfish                          
 Carnivorous crustacea III                  , Pufferfish                          
 Omnivorous crustacea VI                   , Pufferfish                          
 Amphiroa crustacea I                     , Pufferfish                          
 Omnivorous crustacea VII                   , Pufferfish                          
 Herbivorous crustacea I                   , Pufferfish                          
 Herbivorous crustacea II                   , Pufferfish                          
 Herbivorous crustacea III                  , Pufferfish                          
 Omnivorous crustacea I (=81)                 , Pufferfish                          
 Omnivorous crustacea II                   , Pufferfish                          
 Omnivorous crustacea III                   , Pufferfish                          
 Carnivorous crustacea I                   , Pufferfish                          
 Carnivorous crustacea II                   , Pufferfish                          
 Omnivorous crustacea IV                   , Pufferfish                          
 Herbivorous crustacea IV                   , Pufferfish                          
 Herbivorous crustacea V                   , Pufferfish                          
 Herbivorous crustacea VI                   , Pufferfish                          
 Omnivorous crustacea V                    , Pufferfish                          
 Carnivorous crustacea III                  , Pufferfish                          
 Omnivorous crustacea VI                   , Pufferfish                          
 Amphiroa crustacea I                     , Pufferfish                          
 Amphiroa crustacea II                    , Pufferfish                          
 Omnivorous crustacea VII                   , Pufferfish                          
 Omnivorous crustacea VIII                  , Pufferfish                          
 Omnivorous crustacea IX                   , Pufferfish                          
 Omnivorous crustacea X                    , Pufferfish                          
 Omnivorous crustacea XI                   , Pufferfish                          
 Carnivorous crustacea IV                   , Pufferfish                          
 Molluscivorous crustacea II                 , Pufferfish                          
 Filamentous macroalgae                    , Goby                             
 Sheet macroalgae                       , Goby                             
 Coarsely branched macroalgae                 , Goby                             
 Jointed calcareous macroalgae                , Goby                             
 Thick leathery macroalgae                  , Goby                             
 Seagrasses                          , Goby                             
 Herbivorous micro-zooplankton                , Goby                             
 Omnivorous micro-zooplankton                 , Goby                             
 Carnivorous micro-zooplankton                , Goby                             
 Carnivorous micro-zooplankton                , Goby                             
 Macroplanktonic carnivores I                 , Goby                             
 Large omnivorous micro-zooplankton              , Goby                             
 Large omnivorous micro-zooplankton              , Goby                             
 Large carnivorous micro-zooplankton             , Goby                             
 Shallow infaunal deposit feeders I              , Goby                             
 Shallow infaunal suspension feeders with chemosymbionts   , Goby                             
 Shallow infaunal soft substrate suspension feeder     , Goby                             
 Epifaunal attached hard substrate suspension feeder , Goby                             
 Epifaunal attached soft substrate suspension feeder , Goby                             
 Carnivorous ophiuroids                    , Goby                             
 Epifaunal bivalve carnivores II               , Slippery dick                        
 Detritivorous gastropods I                  , Slippery dick                        
 Epiphyte grazer I                      , Slippery dick                        
 Echinoid carnivores I                    , Slippery dick                        
 Herbivorous gastropods IV                  , Slippery dick                        
 Shallow infaunal deposit feeders I              , Slippery dick                        
 Deep infaunal soft substrate suspension feeder    , Slippery dick                        
 Shallow infaunal suspension feeders with chemosymbionts   , Slippery dick                        
 Shallow infaunal soft substrate suspension feeder     , Slippery dick                        
 Epifaunal attached hard substrate suspension feeder , Slippery dick                        
 Epifaunal attached soft substrate suspension feeder , Slippery dick                        
 Epifaunal free hard substrate suspension feeder   , Slippery dick                        
 Infaunal hard substrate suspension feeder        , Slippery dick                        
 Epifaunal free soft substrate suspension feeder   , Slippery dick                        
 Deposit feeders II                      , Slippery dick                        
 Stomatopods I                        , Slippery dick                        
 Cleaner crustacea I                     , Slippery dick                        
 Omnivorous crustacea II                   , Slippery dick                        
 Omnivorous crustacea III                   , Slippery dick                        
 Carnivorous crustacea I                   , Slippery dick                        
 Carnivorous crustacea II                   , Slippery dick                        
 Omnivorous crustacea IV                   , Slippery dick                        
 Herbivorous crustacea IV                   , Slippery dick                        
 Herbivorous crustacea V                   , Slippery dick                        
 Herbivorous crustacea VI                   , Slippery dick                        
 Omnivorous crustacea V                    , Slippery dick                        
 Carnivorous crustacea III                  , Slippery dick                        
 Omnivorous crustacea VI                   , Slippery dick                        
 Amphiroa crustacea I                     , Slippery dick                        
 Amphiroa crustacea II                    , Slippery dick                        
 Omnivorous crustacea VII                   , Slippery dick                        
 Omnivorous crustacea VIII                  , Slippery dick                        
 Omnivorous crustacea IX                   , Slippery dick                        
 Omnivorous crustacea X                    , Slippery dick                        
 Omnivorous crustacea XI                   , Slippery dick                        
 Carnivorous crustacea IV                   , Slippery dick                        
 Carnivorous ophiuroids                    , Slippery dick                        
 Diadema                           , Slippery dick                        
 Tripneustes                         , Slippery dick                        
 Eucidaris                          , Slippery dick                        
 Echinometra                         , Slippery dick                        
 Lytechinus                          , Slippery dick                        
 Deposit feeders I                      , Slippery dick                        
 Cleaner crustacea I                     , Stomatopods I                        
 Omnivorous crustacea IX                   , Stomatopods I                        
 Omnivorous crustacea XI                   , Stomatopods I                        
 Deposit feeders II                      , Stomatopods I                        
 Seabream                           , Stomatopods I                        
 Pilotfish                          , Stomatopods I                        
 Goby                             , Stomatopods I                        
 Herbivorous micro-zooplankton                , Squirrelfish                         
 Omnivorous micro-zooplankton                 , Squirrelfish                         
 Carnivorous micro-zooplankton                , Squirrelfish                         
 Carnivorous micro-zooplankton                , Squirrelfish                         
 Macroplanktonic carnivores I                 , Squirrelfish                         
 Large omnivorous micro-zooplankton              , Squirrelfish                         
 Large omnivorous micro-zooplankton              , Squirrelfish                         
 Large carnivorous micro-zooplankton             , Squirrelfish                         
 Deposit feeders II                      , Squirrelfish                         
 Cleaner crustacea I                     , Squirrelfish                         
 Herbivorous crustacea I                   , Squirrelfish                         
 Herbivorous crustacea II                   , Squirrelfish                         
 Herbivorous crustacea III                  , Squirrelfish                         
 Omnivorous crustacea II                   , Squirrelfish                         
 Omnivorous crustacea III                   , Squirrelfish                         
 Carnivorous crustacea I                   , Squirrelfish                         
 Carnivorous crustacea II                   , Squirrelfish                         
 Omnivorous crustacea IV                   , Squirrelfish                         
 Herbivorous crustacea IV                   , Squirrelfish                         
 Herbivorous crustacea V                   , Squirrelfish                         
 Herbivorous crustacea VI                   , Squirrelfish                         
 Omnivorous crustacea V                    , Squirrelfish                         
 Carnivorous crustacea III                  , Squirrelfish                         
 Omnivorous crustacea VI                   , Squirrelfish                         
 Amphiroa crustacea I                     , Squirrelfish                         
 Amphiroa crustacea II                    , Squirrelfish                         
 Omnivorous crustacea VII                   , Squirrelfish                         
 Omnivorous crustacea VIII                  , Squirrelfish                         
 Omnivorous crustacea IX                   , Squirrelfish                         
 Omnivorous crustacea X                    , Squirrelfish                         
 Omnivorous crustacea XI                   , Squirrelfish                         
 Carnivorous crustacea IV                   , Squirrelfish                         
 Herbivorous micro-zooplankton                , Squirrelfish                         
 Omnivorous micro-zooplankton                 , Squirrelfish                         
 Carnivorous micro-zooplankton                , Squirrelfish                         
 Carnivorous micro-zooplankton                , Squirrelfish                         
 Epifaunal bivalve carnivores II               , Squirrelfish                         
 Detritivorous gastropods I                  , Squirrelfish                         
 Epiphyte grazer I                      , Squirrelfish                         
 Echinoid carnivores I                    , Squirrelfish                         
 Herbivorous gastropods IV                  , Squirrelfish                         
 Deposit feeders II                      , Squirrelfish                         
 Cleaner crustacea I                     , Squirrelfish                         
 Herbivorous crustacea I                   , Squirrelfish                         
 Herbivorous crustacea II                   , Squirrelfish                         
 Herbivorous crustacea III                  , Squirrelfish                         
 Omnivorous crustacea I (=81)                 , Squirrelfish                         
 Omnivorous crustacea II                   , Squirrelfish                         
 Omnivorous crustacea III                   , Squirrelfish                         
 Molluscivorous crustacea III                 , Squirrelfish                         
 Carnivorous crustacea I                   , Squirrelfish                         
 Carnivorous crustacea II                   , Squirrelfish                         
 Omnivorous crustacea IV                   , Squirrelfish                         
 Herbivorous crustacea IV                   , Squirrelfish                         
 Herbivorous crustacea V                   , Squirrelfish                         
 Herbivorous crustacea VI                   , Squirrelfish                         
 Omnivorous crustacea V                    , Squirrelfish                         
 Carnivorous crustacea III                  , Squirrelfish                         
 Omnivorous crustacea VI                   , Squirrelfish                         
 Amphiroa crustacea I                     , Squirrelfish                         
 Amphiroa crustacea II                    , Squirrelfish                         
 Omnivorous crustacea VII                   , Squirrelfish                         
 Omnivorous crustacea VIII                  , Squirrelfish                         
 Omnivorous crustacea IX                   , Squirrelfish                         
 Omnivorous crustacea X                    , Squirrelfish                         
 Omnivorous crustacea XI                   , Squirrelfish                         
 Carnivorous crustacea IV                   , Squirrelfish                         
 Herbivorous micro-zooplankton                , Grunt                            
 Omnivorous micro-zooplankton                 , Grunt                            
 Carnivorous micro-zooplankton                , Grunt                            
 Carnivorous micro-zooplankton                , Grunt                            
 Macroplanktonic carnivores I                 , Grunt                            
 Large omnivorous micro-zooplankton              , Grunt                            
 Large omnivorous micro-zooplankton              , Grunt                            
 Large carnivorous micro-zooplankton             , Grunt                            
 Epifaunal bivalve carnivores II               , Grunt                            
 Detritivorous gastropods I                  , Grunt                            
 Epiphyte grazer I                      , Grunt                            
 Echinoid carnivores I                    , Grunt                            
 Herbivorous gastropods IV                  , Grunt                            
 Shallow infaunal deposit feeders I              , Grunt                            
 Deep infaunal soft substrate suspension feeder    , Grunt                            
 Shallow infaunal suspension feeders with chemosymbionts   , Grunt                            
 Shallow infaunal soft substrate suspension feeder     , Grunt                            
 Epifaunal attached hard substrate suspension feeder , Grunt                            
 Epifaunal attached soft substrate suspension feeder , Grunt                            
 Epifaunal free hard substrate suspension feeder   , Grunt                            
 Infaunal hard substrate suspension feeder        , Grunt                            
 Epifaunal free soft substrate suspension feeder   , Grunt                            
 Cleaner crustacea I                     , Grunt                            
 Herbivorous crustacea I                   , Grunt                            
 Herbivorous crustacea II                   , Grunt                            
 Herbivorous crustacea III                  , Grunt                            
 Omnivorous crustacea II                   , Grunt                            
 Omnivorous crustacea III                   , Grunt                            
 Carnivorous crustacea I                   , Grunt                            
 Carnivorous crustacea II                   , Grunt                            
 Omnivorous crustacea IV                   , Grunt                            
